"md5_email"|"YEAR"|"WEEK"|"V01"|"V02"|"V03"|"V04"|"V05"|"V06"|"V07"|"V08"|"V09"|"V10"|"V11"|"V12"|"V13"|"V14"|"V15"|"V16"|"V17"|"V18"|"V19"|"V20"|"V21"|"V22"|"V23"|"V24"|"V25"|"V26"|"V27"|"V28"|"V29"|"V30"|"V31"|"V32"|"V33"|"V34"|"V35"|"V36"|"V37"|"V38"|"V39"|"V40"|"V41"|"V42"|"V43"|"V44"|"V45"|"V46"|"V47"|"V48"|"V49"|"V50"|"V51"|"V52"|"V53"|"V54"|"V55"|"V56"|"V57"|"V58"|"V59"|"V60"
"833"|"36d78349d2643d3a27ecf9de4092973a"|2019|17|5|1.8|2.6|5|5|5|5|5|5|4.2|1.8|5|5|5|5|5|5|5|4.2|1|1|5|4.2|5|1|5|5|5|2.6|5|5|5|2.6|5|2.6|5|1.8|1.8|5|5|5|5|5|5|5|5|5|5|5|1|5|3.4|5|5|1|5|5|5|3.4|5
"827"|"a5117236f8b18e8881fe9c7c975720ac"|2019|15|5|5|1|5|5|5|5|5|5|1|5|5|5|5|5|5|5|5|5|1|5|5|5|1|1|5|1|1|5|5|5|1|5|5|1|5|5|5|5|5|5|5|5|5|5|5|5|1|5|1|5|5|5|5|5|5|5|5|5|5
"825"|"0bc0911c3c8ea8b880be659b7a093540"|2019|10|4.2|5|3.4|3.4|4.2|5|4.2|3.4|5|4.2|4.2|2.6|4.2|3.4|4.2|4.2|5|4.2|3.4|1.8|3.4|4.2|3.4|4.2|3.4|5|3.4|5|5|4.2|5|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|2.6|5|5|4.2|3.4|5|5|3.4|5|5|2.6|4.2|5|5|4.2|4.2|5|5|3.4|4.2|5
"826"|"13a5d14b31a55513c1f27e9b388c1b8f"|2019|10|3.4|4.2|1.8|1.8|3.4|3.4|2.6|4.2|1.8|2.6|5|1.8|4.2|5|4.2|2.6|3.4|5|4.2|3.4|5|3.4|4.2|5|3.4|1|1.8|1.8|5|1|1.8|5|5|5|2.6|5|2.6|5|5|5|1.8|5|5|1.8|5|5|5|5|5|3.4|3.4|5|5|5|5|5|5|5|1.8|5
"822"|"eb2783586a39212fd4b6bf1bb77f97f4"|2019|8|1.8|3.4|3.4|4.2|4.2|4.2|5|2.6|5|3.4|1.8|2.6|3.4|3.4|4.2|4.2|5|4.2|3.4|1.8|1.8|4.2|4.2|4.2|1.8|4.2|4.2|4.2|2.6|4.2|4.2|3.4|4.2|3.4|3.4|4.2|2.6|3.4|4.2|4.2|2.6|3.4|3.4|4.2|4.2|3.4|4.2|4.2|3.4|3.4|4.2|5|4.2|4.2|2.6|5|3.4|1.8|1.8|4.2
"823"|"5af16eac6d0852e0467dae6bd7c72cec"|2019|8|4.2|3.4|4.2|4.2|3.4|3.4|4.2|1.8|3.4|1.8|4.2|3.4|2.6|4.2|2.6|3.4|4.2|4.2|2.6|3.4|4.2|1.8|3.4|4.2|2.6|5|3.4|2.6|3.4|3.4|3.4|1.8|4.2|3.4|3.4|2.6|4.2|3.4|5|4.2|5|4.2|3.4|4.2|2.6|3.4|4.2|2.6|2.6|5|5|3.4|4.2|4.2|3.4|3.4|4.2|4.2|4.2|3.4
"824"|"369c1f51d554588b712903c41e7aee0a"|2019|8|3.4|3.4|1.8|5|5|4.2|2.6|4.2|5|4.2|1.8|3.4|4.2|4.2|4.2|5|4.2|5|3.4|5|3.4|5|3.4|2.6|1|5|4.2|1.8|1.8|4.2|3.4|1|5|4.2|4.2|4.2|1|5|5|5|5|4.2|4.2|4.2|4.2|5|5|1.8|5|4.2|5|4.2|5|5|4.2|5|5|3.4|5|5
"821"|"c90b54231eb3853c478d07ead510259d"|2019|7|1.8|3.4|4.2|5|4.2|5|3.4|4.2|4.2|4.2|4.2|1.8|1.8|3.4|4.2|4.2|4.2|4.2|3.4|2.6|2.6|5|4.2|5|2.6|3.4|4.2|3.4|2.6|4.2|4.2|4.2|3.4|5|5|5|4.2|4.2|4.2|5|4.2|4.2|5|4.2|4.2|5|5|4.2|5|4.2|4.2|5|5|5|5|5|5|5|5|5
"819"|"685247a7a66e0d0c8aba24081f831a8e"|2019|6|4.2|3.4|3.4|2.6|3.4|3.4|4.2|4.2|4.2|3.4|2.6|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|2.6|4.2|3.4|1.8|1.8|4.2|4.2|3.4|1.8|3.4|4.2|3.4|4.2|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|3.4|4.2|4.2|4.2|4.2|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|3.4|4.2|4.2|3.4|4.2
"820"|"81295529035a30635a02a55f0f9330bb"|2019|6|3.4|4.2|1.8|4.2|4.2|4.2|1.8|2.6|5|4.2|1.8|3.4|5|4.2|3.4|4.2|4.2|4.2|5|1|1.8|4.2|4.2|4.2|1.8|4.2|3.4|4.2|2.6|4.2|4.2|3.4|4.2|3.4|2.6|4.2|3.4|3.4|4.2|3.4|3.4|4.2|3.4|4.2|3.4|3.4|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2|3.4|4.2
"816"|"b62c73cdaf59e0a13de495b84030734e"|2019|5|1.8|1.8|1.8|4.2|3.4|4.2|5|3.4|4.2|5|5|4.2|4.2|1|5|1.8|4.2|5|5|1.8|3.4|4.2|4.2|4.2|4.2|3.4|2.6|5|3.4|3.4|4.2|4.2|4.2|2.6|4.2|5|2.6|4.2|5|3.4|3.4|2.6|2.6|3.4|4.2|4.2|2.6|2.6|3.4|4.2|2.6|5|5|4.2|3.4|2.6|4.2|2.6|2.6|4.2
"817"|"614592177427f8976c5bb892dbe94247"|2019|5|3.4|2.6|3.4|4.2|4.2|5|5|3.4|4.2|3.4|1|1.8|3.4|2.6|5|4.2|4.2|4.2|2.6|1.8|2.6|4.2|5|5|1.8|5|2.6|3.4|1.8|4.2|5|1.8|5|3.4|3.4|4.2|2.6|5|5|2.6|5|1.8|3.4|4.2|5|3.4|2.6|4.2|4.2|1.8|4.2|5|5|4.2|3.4|1.8|5|4.2|3.4|4.2
"818"|"685247a7a66e0d0c8aba24081f831a8e"|2019|5|3.4|2.6|2.6|3.4|3.4|2.6|2.6|3.4|3.4|3.4|2.6|3.4|2.6|2.6|2.6|3.4|3.4|2.6|4.2|2.6|2.6|3.4|3.4|3.4|1.8|3.4|3.4|2.6|2.6|3.4|2.6|2.6|2.6|2.6|2.6|3.4|2.6|2.6|2.6|3.4|3.4|3.4|2.6|3.4|3.4|2.6|2.6|2.6|2.6|2.6|3.4|2.6|3.4|2.6|2.6|2.6|3.4|3.4|2.6|2.6
"815"|"fbb1a8dc1cc5fccdd17332e685d00997"|2019|4|4.2|5|1.8|4.2|5|4.2|5|4.2|5|5|4.2|4.2|5|5|4.2|5|4.2|5|4.2|2.6|4.2|4.2|5|4.2|4.2|5|3.4|4.2|4.2|3.4|5|4.2|4.2|5|4.2|5|5|5|5|5|5|5|5|4.2|4.2|4.2|4.2|4.2|5|5|3.4|5|4.2|4.2|4.2|4.2|5|5|5|5
"811"|"c29e24b16f1c8c6e897b42b45dee9297"|2019|2|5|5|1|4.2|5|5|5|2.6|4.2|5|3.4|4.2|3.4|5|3.4|5|5|5|2.6|1.8|2.6|5|5|4.2|2.6|4.2|4.2|3.4|3.4|4.2|3.4|5|3.4|4.2|3.4|5|5|4.2|5|4.2|3.4|5|4.2|5|5|5|5|1.8|5|4.2|5|5|5|5|3.4|5|5|5|3.4|5
"812"|"d596007012295ab8802e3e87c59510bc"|2019|2|3.4|4.2|1|2.6|1.8|4.2|2.6|1|4.2|4.2|3.4|4.2|4.2|4.2|3.4|3.4|4.2|3.4|5|2.6|3.4|4.2|5|1.8|4.2|1.8|2.6|1|4.2|2.6|3.4|4.2|4.2|5|4.2|4.2|2.6|5|4.2|5|2.6|4.2|3.4|2.6|2.6|5|3.4|2.6|5|2.6|3.4|3.4|4.2|3.4|4.2|3.4|3.4|4.2|2.6|2.6
"813"|"6ae9acb687e9afe47635ba39226b6e2e"|2019|2|5|5|5|5|5|5|4.2|3.4|5|5|3.4|3.4|3.4|5|2.6|5|2.6|5|4.2|1|3.4|5|5|5|5|5|4.2|1.8|2.6|3.4|3.4|2.6|5|4.2|5|4.2|3.4|5|5|3.4|2.6|2.6|3.4|1|3.4|4.2|5|4.2|5|1|5|4.2|5|1|3.4|3.4|5|5|3.4|5
"814"|"97e1299219669f6731d16809825c23bd"|2019|2|3.4|1.8|2.6|3.4|3.4|2.6|5|2.6|4.2|3.4|3.4|2.6|3.4|4.2|3.4|3.4|3.4|4.2|4.2|1.8|2.6|3.4|3.4|3.4|1.8|4.2|4.2|4.2|2.6|4.2|3.4|4.2|4.2|3.4|3.4|4.2|3.4|4.2|4.2|4.2|3.4|4.2|3.4|4.2|3.4|4.2|3.4|3.4|3.4|3.4|4.2|4.2|4.2|4.2|2.6|3.4|4.2|2.6|3.4|4.2
"810"|"f6c3f631bf634cb95c7b61b55dddfd4c"|2018|43|1.8|1.8|4.2|4.2|3.4|3.4|4.2|3.4|4.2|1.8|1.8|1.8|1.8|1.8|3.4|2.6|4.2|4.2|1.8|2.6|1.8|3.4|1.8|4.2|4.2|2.6|3.4|4.2|1.8|2.6|4.2|3.4|3.4|1.8|3.4|3.4|1.8|1.8|2.6|3.4|4.2|3.4|2.6|2.6|3.4|3.4|2.6|2.6|1.8|2.6|2.6|4.2|3.4|2.6|2.6|1.8|2.6|1.8|1.8|3.4
"809"|"c959f6a42c350823fc974425191091b0"|2018|35|3.4|1.8|1.8|5|4.2|3.4|5|3.4|5|3.4|2.6|3.4|2.6|4.2|5|3.4|5|5|2.6|2.6|1.8|5|4.2|4.2|1.8|4.2|3.4|5|1.8|5|5|3.4|5|2.6|5|4.2|1.8|5|5|4.2|1.8|5|1.8|3.4|5|5|4.2|3.4|1.8|3.4|3.4|5|4.2|4.2|4.2|5|2.6|5|2.6|5
"807"|"1d26e9552da1246cd2efe0d3232cd11e"|2018|19|1|2.6|4.2|1|2.6|3.4|4.2|2.6|2.6|1|3.4|2.6|4.2|1.8|1.8|2.6|2.6|2.6|3.4|3.4|2.6|1.8|1|3.4|2.6|2.6|1.8|4.2|3.4|1|4.2|3.4|4.2|4.2|4.2|4.2|3.4|3.4|2.6|2.6|4.2|1.8|2.6|3.4|2.6|5|1.8|4.2|4.2|3.4|1.8|4.2|1.8|1.8|1|1|3.4|2.6|3.4|1
"808"|"a60763fba33ace9f7e589a6a3419fe5f"|2018|19|1.8|2.6|5|4.2|5|3.4|3.4|3.4|5|3.4|1|2.6|3.4|2.6|5|5|4.2|3.4|3.4|1.8|1|5|4.2|5|1|5|3.4|4.2|1|5|4.2|3.4|5|2.6|3.4|4.2|1|3.4|4.2|3.4|2.6|3.4|4.2|3.4|4.2|5|4.2|4.2|3.4|2.6|1.8|4.2|5|3.4|5|3.4|4.2|4.2|1.8|5
"802"|"3594d5c6658a5891b97c082b7c412538"|2018|18|2.6|1.8|4.2|4.2|5|5|5|5|4.2|2.6|2.6|3.4|2.6|3.4|4.2|4.2|5|4.2|2.6|1.8|1|4.2|4.2|4.2|1.8|3.4|3.4|4.2|1|5|4.2|5|5|3.4|5|4.2|1|4.2|4.2|5|1.8|2.6|4.2|3.4|4.2|4.2|5|3.4|4.2|1|3.4|4.2|5|3.4|2.6|4.2|3.4|4.2|2.6|4.2
"803"|"232168d069e04230f15c5bcea2436d18"|2018|18|1.8|1.8|2.6|4.2|4.2|2.6|3.4|1.8|4.2|3.4|3.4|1.8|3.4|1.8|3.4|4.2|5|3.4|3.4|2.6|1|2.6|4.2|4.2|1.8|4.2|4.2|5|1.8|2.6|3.4|3.4|5|3.4|1.8|3.4|2.6|4.2|5|3.4|4.2|3.4|2.6|2.6|3.4|4.2|3.4|5|4.2|3.4|2.6|3.4|4.2|4.2|2.6|2.6|4.2|4.2|1.8|2.6
"804"|"6aab6eccd04f34e739ae3250a961ca84"|2018|18|2.6|2.6|3.4|4.2|5|3.4|3.4|2.6|4.2|1.8|1.8|3.4|2.6|1.8|4.2|3.4|4.2|3.4|1.8|1.8|2.6|2.6|2.6|3.4|2.6|4.2|2.6|4.2|2.6|4.2|3.4|3.4|4.2|1.8|3.4|2.6|2.6|2.6|4.2|1.8|5|3.4|3.4|2.6|3.4|1.8|3.4|5|1.8|2.6|4.2|3.4|4.2|3.4|2.6|2.6|3.4|3.4|3.4|2.6
"805"|"2d5255e7d4f749312da386efef379bc7"|2018|18|2.6|3.4|1.8|5|4.2|1.8|5|4.2|5|3.4|1.8|2.6|4.2|2.6|5|3.4|4.2|5|3.4|1.8|3.4|5|4.2|5|1|2.6|2.6|4.2|4.2|3.4|4.2|5|4.2|4.2|4.2|5|1|5|2.6|2.6|5|4.2|2.6|3.4|3.4|4.2|5|4.2|3.4|3.4|5|2.6|5|2.6|1.8|4.2|4.2|4.2|5|2.6
"806"|"3e67912ca3ae000ae93283ea5851e26f"|2018|18|3.4|1|5|5|3.4|2.6|4.2|2.6|4.2|3.4|1.8|3.4|4.2|1.8|4.2|3.4|2.6|2.6|3.4|2.6|3.4|4.2|2.6|4.2|1|5|1.8|5|2.6|3.4|5|5|5|4.2|4.2|2.6|4.2|2.6|5|4.2|3.4|4.2|3.4|4.2|1.8|1.8|2.6|3.4|4.2|1|2.6|5|2.6|3.4|1|3.4|3.4|1.8|3.4|1
"796"|"f80d397a4af9a2f3a283b4f3b9dbf841"|2018|17|2.6|4.2|2.6|2.6|4.2|2.6|4.2|4.2|4.2|4.2|2.6|1.8|4.2|3.4|2.6|3.4|2.6|4.2|3.4|1.8|1.8|3.4|4.2|4.2|1.8|5|2.6|4.2|2.6|3.4|2.6|2.6|4.2|5|2.6|3.4|1.8|2.6|5|4.2|4.2|1.8|4.2|3.4|2.6|3.4|4.2|4.2|4.2|3.4|4.2|2.6|3.4|2.6|1.8|2.6|4.2|5|1.8|3.4
"797"|"7b00a613794faad9e6ab3caa2647f91e"|2018|17|2.6|3.4|1.8|4.2|5|5|3.4|2.6|5|4.2|2.6|2.6|2.6|3.4|5|5|5|5|2.6|1.8|1.8|4.2|5|5|1|4.2|3.4|4.2|1.8|5|4.2|5|5|3.4|4.2|4.2|1|1.8|4.2|5|2.6|3.4|4.2|3.4|4.2|4.2|5|4.2|2.6|1.8|1.8|4.2|5|3.4|2.6|3.4|5|4.2|2.6|4.2
"798"|"33b4273ac4ac1854b90906a37a03bd74"|2018|17|3.4|2.6|3.4|4.2|4.2|3.4|3.4|4.2|4.2|2.6|2.6|3.4|3.4|2.6|3.4|3.4|3.4|2.6|3.4|2.6|1.8|5|3.4|3.4|1.8|4.2|3.4|4.2|2.6|3.4|4.2|3.4|3.4|3.4|3.4|3.4|2.6|3.4|4.2|3.4|4.2|3.4|3.4|3.4|3.4|2.6|3.4|3.4|3.4|1.8|3.4|4.2|3.4|2.6|3.4|2.6|3.4|3.4|3.4|3.4
"799"|"d68a6997183bcaa9aee03c601f44affc"|2018|17|3.4|1.8|3.4|3.4|3.4|3.4|3.4|3.4|3.4|3.4|1.8|3.4|2.6|2.6|4.2|3.4|3.4|3.4|2.6|2.6|1.8|3.4|3.4|3.4|1.8|3.4|2.6|4.2|1.8|3.4|2.6|2.6|4.2|3.4|2.6|3.4|2.6|4.2|3.4|3.4|2.6|2.6|3.4|3.4|3.4|2.6|2.6|3.4|2.6|2.6|2.6|3.4|4.2|4.2|3.4|3.4|3.4|3.4|2.6|3.4
"800"|"b62c73cdaf59e0a13de495b84030734e"|2018|17|1|1|3.4|4.2|4.2|4.2|4.2|1.8|3.4|4.2|4.2|4.2|3.4|1.8|4.2|2.6|4.2|4.2|4.2|1|4.2|4.2|3.4|3.4|4.2|5|2.6|2.6|4.2|1.8|5|3.4|3.4|5|5|4.2|5|5|3.4|5|4.2|4.2|4.2|4.2|3.4|4.2|3.4|3.4|4.2|4.2|3.4|4.2|3.4|3.4|1.8|5|2.6|4.2|5|1.8
"801"|"db9b7ff8a8bf931e82934bdfedd9157f"|2018|17|2.6|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|5|1.8|2.6|2.6|3.4|3.4|4.2|4.2|4.2|2.6|1.8|1|5|4.2|3.4|1|4.2|3.4|3.4|1.8|5|3.4|4.2|4.2|2.6|3.4|4.2|1|4.2|5|3.4|1|1.8|3.4|3.4|4.2|3.4|4.2|3.4|3.4|2.6|1.8|2.6|5|4.2|3.4|2.6|3.4|4.2|1.8|4.2
"795"|"5c9e1b805c9381713e5313a93f106ecf"|2018|3|4.2|2.6|2.6|4.2|3.4|5|3.4|3.4|5|5|2.6|4.2|4.2|2.6|5|5|4.2|5|4.2|1.8|3.4|4.2|5|3.4|2.6|4.2|3.4|3.4|3.4|3.4|3.4|4.2|3.4|4.2|3.4|5|3.4|4.2|4.2|4.2|2.6|3.4|4.2|4.2|4.2|5|3.4|4.2|3.4|2.6|3.4|3.4|4.2|4.2|2.6|4.2|4.2|3.4|3.4|3.4
"793"|"ece0c3bd125984b3528887c1b17a83b3"|2018|2|4.2|4.2|3.4|3.4|5|3.4|3.4|2.6|5|5|2.6|4.2|4.2|5|4.2|4.2|5|4.2|4.2|2.6|1.8|5|5|3.4|2.6|5|4.2|4.2|1.8|3.4|1.8|2.6|3.4|4.2|3.4|3.4|1.8|1.8|4.2|1.8|1.8|2.6|1|3.4|1.8|4.2|3.4|2.6|4.2|1|4.2|1.8|4.2|2.6|1.8|5|1.8|4.2|1|2.6
"794"|"ece0c3bd125984b3528887c1b17a83b3"|2018|2|4.2|4.2|3.4|3.4|5|3.4|3.4|2.6|5|5|2.6|4.2|4.2|5|4.2|4.2|5|4.2|4.2|2.6|1.8|5|5|3.4|2.6|5|4.2|4.2|1.8|3.4|1.8|2.6|3.4|4.2|3.4|3.4|1.8|1.8|4.2|1.8|1.8|2.6|1|3.4|1.8|4.2|3.4|2.6|4.2|1|4.2|1.8|4.2|2.6|1.8|5|1.8|4.2|1|2.6
"790"|"3f3703975e7a762183c45d501d3a05f7"|2018|0|1.8|2.6|2.6|3.4|3.4|3.4|3.4|4.2|3.4|2.6|4.2|1.8|3.4|2.6|5|4.2|4.2|4.2|3.4|2.6|2.6|3.4|3.4|4.2|2.6|2.6|3.4|3.4|4.2|3.4|2.6|3.4|4.2|1.8|3.4|4.2|1.8|2.6|3.4|2.6|1.8|3.4|3.4|3.4|3.4|4.2|4.2|2.6|3.4|3.4|2.6|2.6|4.2|2.6|5|4.2|3.4|4.2|2.6|4.2
"791"|"d4cd58af85b35632e737d8823f6c5647"|2018|0|5|5|2.6|4.2|5|5|5|5|5|5|1|5|5|5|5|5|5|5|5|1|1|5|5|5|1|5|5|5|1|5|1|1|1|1|1|1|5|1|1|1|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1.8|1|1|1|1|1
"792"|"d91a1d911406cb1ffaa5354874482b47"|2018|0|2.6|3.4|2.6|3.4|4.2|4.2|5|5|3.4|4.2|1.8|2.6|4.2|3.4|3.4|3.4|4.2|2.6|3.4|2.6|2.6|4.2|4.2|4.2|2.6|3.4|3.4|3.4|3.4|4.2|4.2|2.6|4.2|3.4|5|2.6|3.4|3.4|3.4|3.4|2.6|3.4|3.4|2.6|3.4|4.2|4.2|3.4|4.2|2.6|1.8|4.2|4.2|2.6|2.6|2.6|3.4|3.4|2.6|4.2
"786"|"fe76b650139feb5eb3ba9a6fa592d6b3"|2017|53|4.2|1.8|3.4|1.8|3.4|3.4|3.4|1.8|3.4|3.4|3.4|2.6|1.8|2.6|2.6|3.4|4.2|3.4|2.6|3.4|1.8|3.4|4.2|3.4|3.4|3.4|3.4|3.4|2.6|4.2|4.2|3.4|3.4|4.2|3.4|4.2|1.8|4.2|3.4|4.2|2.6|2.6|3.4|3.4|3.4|1.8|3.4|4.2|4.2|2.6|1.8|3.4|4.2|4.2|2.6|3.4|3.4|3.4|3.4|4.2
"787"|"92a42c1d235df78ce4c550a53b899941"|2017|53|1.8|2.6|2.6|3.4|3.4|3.4|5|2.6|4.2|3.4|2.6|1.8|2.6|2.6|3.4|3.4|2.6|4.2|2.6|2.6|1.8|2.6|3.4|4.2|2.6|4.2|3.4|1.8|1.8|2.6|2.6|2.6|3.4|2.6|3.4|4.2|1.8|3.4|3.4|2.6|2.6|4.2|2.6|3.4|4.2|3.4|3.4|3.4|2.6|2.6|3.4|3.4|4.2|4.2|3.4|3.4|3.4|4.2|2.6|3.4
"788"|"91f4ad379430cd77a1d9ed3bd52c5bb8"|2017|53|2.6|5|1|4.2|5|1|5|1.8|3.4|3.4|4.2|4.2|4.2|5|4.2|3.4|3.4|4.2|4.2|2.6|5|3.4|3.4|4.2|3.4|3.4|3.4|3.4|4.2|2.6|5|4.2|2.6|4.2|4.2|4.2|5|5|2.6|5|4.2|5|4.2|3.4|3.4|2.6|3.4|2.6|4.2|3.4|5|4.2|3.4|3.4|1|2.6|4.2|2.6|5|1.8
"789"|"d39c360ef7b04bbd8ff311efb8aed1dc"|2017|53|2.6|2.6|3.4|4.2|1.8|3.4|1.8|2.6|3.4|2.6|2.6|3.4|2.6|4.2|4.2|5|4.2|3.4|2.6|4.2|4.2|2.6|3.4|2.6|1|4.2|4.2|5|3.4|3.4|4.2|5|5|3.4|3.4|1.8|3.4|5|4.2|4.2|4.2|3.4|4.2|2.6|3.4|3.4|1.8|4.2|4.2|2.6|5|3.4|4.2|4.2|1.8|3.4|3.4|2.6|2.6|2.6
"768"|"9a7a2c81aceb7cd2316d637b76c4e911"|2017|52|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5
"769"|"b62c73cdaf59e0a13de495b84030734e"|2017|52|3.4|1.8|2.6|4.2|5|3.4|4.2|4.2|4.2|5|4.2|4.2|3.4|1.8|5|3.4|4.2|5|4.2|1.8|4.2|4.2|4.2|3.4|3.4|4.2|3.4|4.2|3.4|3.4|4.2|4.2|5|5|3.4|5|1|3.4|5|2.6|3.4|2.6|1.8|2.6|5|5|5|2.6|5|4.2|4.2|3.4|5|5|5|1.8|5|5|1|2.6
